Q,CNT,TARGET_X
no pull training collar,1134,pull
royal canin ultamino cat,1134,cat
unscented dust free cat litter,1132,dust
lickable cat treats grain free,1128,grain
grain free chicken cat food,1128,grain
stuffing free toys,1123,stuffing
grain free small dog food,1123,grain
grain free honest kitchen,1122,grain
grain free rabbit food,1121,grain
grainfree wet dog food,1120,grain
front clip no pull harness,1120,pull
rinse free cat shampoo,1119,rinse
stella and chewy grain free,1117,grain
nano bulb,1114,bulb
purina one wet cat food grain free,1114,grain
gluten free cat treats,1113,gluten
senior cat food grain free,1110,grain
pate grain free cat food,1105,grain
frisco padded no pull dog harness,1101,pull
dog treats with no chicken,1095,chicken
no bark ultra,1094,bark
non grain dog food,1089,grain
blue buffalo no chicken,1087,chicken
buy 3 get 4th free deals,1087,4th
grain free soft dog food,1084,grain
royal canon wet food,1084,wet
grain free salmon cat food,1083,grain
stuffing-free,1079,stuffing-
no millet bird seed,1078,millet
non prescription flea medicine,1077,prescription
bird seed no mess,1067,mess
dog stroller no zip,1065,zip
grain free small breed,1062,grain
dog harness no escape,1062,escape
toy no stuffing,1060,stuffing
dog bowl non skid,1057,skid
instinct grain free,1055,grain
american journey grain free,1049,grain
mess free bird seed,1049,mess
instinct raw meals real beef recipe grain-free adult freeze-dried dog food 25-oz bag,1048,grain-
small black stroller no zip,1046,zip
beef dog food grain free,1044,grain
no melt suet cakes for wild birds,1040,melt
puppy food with no chicken,1040,chicken
hills grain free dog treats,1039,grain
cat no pee,1037,pee
fancy feast grain free pate,1036,grain
tidy cat free and clear,1036,cat
no hide chew,1036,hide
no turn bell boots,1036,turn
non tip bowl,1034,tip
no tip dog bowl,1033,tip
puppy food chicken free,1032,chicken
fromm grain free,1032,grain
non gmo wet dog food,1029,gmo
grain free high protein dry cat food,1029,grain
fresh step non clumping litter,1023,clumping
grain free beef dry dog food,1022,grain
weight management dog food no chicken,1021,chicken
non rawhide,1020,rawhide
no scratch spray for cats,1019,scratch
grain free dog wet food,1019,grain
grainfree,1016,grain
salt free dog food,1015,salt
chicken free weight control,1015,chicken
corn free dry cat food,1013,corn
natures recipe grain free wet dog food,1012,grain
raw hide free dog bones,1011,hide
grain free biscuits,1010,grain
no shock collar,1007,shock
hills science diet no corn,1007,corn
royal canon renal,1006,renal
nutrish dog food grain free,1003,grain
grain free organic dog food,1002,grain
jinx grain free,1000,grain
grain free peanut butter dog treats,1000,grain
dry cat food no chicken,999,chicken
tidy cats free & clean unscented,999,cats
kaytee wild bird food no mess,998,mess
grain free training treats,997,grain
grain free dog treats for large dogs,997,grain
non chew dog bed,995,chew
non gmo dog treats,994,gmo
kong stuffing free dog toys,994,stuffing
kitten wet grain free food,993,grain
kaytee no mess,992,mess
no squeak dog toy,990,squeak
blue buffalo wet dog food grain free,989,grain
dog food grain free non-gmo,988,grain
grain free dogfood no probiotic,982,grain
chicken free large breed puppy food,979,chicken
ultra grain free,978,grain
chicken free dog chews,978,chicken
gain free dog food,977,gain
salmon dog food grain free,975,grain
purina pro plan for dogs grain free,975,grain
dry cat food no grain,974,grain
adjustable no pull harness,974,pull
aller free,974,aller
earth animal no hide chews large,972,hide
natures logic grain free,972,grain
unscented dust free clumping cat litter,972,dust
nature's miracle no more marking,971,more
grain free weight control dog food,970,grain
royal canon cat,969,cat
chicken free dog bones,968,chicken
no pee spray for dogs,967,pee
